view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,responses,stimulus,key_press,success_time,board_size,board_set,board_no,success,completed
NULL,783,survey-text,6,29719,0.0-6.0-0.0,"{"Q0":""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1894,survey-multi-choice,7,31615,0.0-9.0,"{"Q0":"Graduate degree (e.g., MA, MSc)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1366,survey-multi-choice,8,32983,0.0-10.0,"{"Q0":"Graduate degree (e.g., MA, MSc)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1566,survey-multi-choice,9,34551,0.0-11.0,"{"Q0":"Semi- or unskilled working class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1366,survey-multi-choice,10,35918,0.0-12.0,"{"Q0":"Semi- or unskilled working class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,967,survey-text,11,36886,0.0-13.0,"{"Q0":""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1142,survey-multi-choice,12,38031,0.0-14.0,"{"Q0":""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,call-function,13,38032,0.0-15.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"[{"page_index":0,"viewing_time":742},{"page_index":1,"viewing_time":4093},{"page_index":2,"viewing_time":206},{"page_index":3,"viewing_time":188},{"page_index":4,"viewing_time":188},{"page_index":5,"viewing_time":183},{"page_index":6,"viewing_time":1941}]",7541,instructions,14,45573,0.0-16.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,1403,html-keyboard-response,15,46977,0.0-16.0-1.0,NULL,"Are you ready to solve a practice Sudoku? <br><br> Yes, I am ready! (Press C) <br><br> Not yet, I would like to read the rules once again, please! (Press R)",67,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,sudoku_trial,16,48858,0.0-17.0,NULL,NULL,NULL,NULL,boards2x3,d,0,,1
"[{"page_index":0,"viewing_time":1579}]",1579,instructions,17,50438,0.0-18.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,sudoku_trial,18,51806,0.0-19.0,NULL,NULL,NULL,NULL,boards2x3,b,2,,1
NULL,NULL,sudoku_trial,19,53096,0.0-20.0,NULL,NULL,NULL,NULL,boards2x3,a,3,,1
NULL,NULL,sudoku_trial,20,54442,0.0-21.0,NULL,NULL,NULL,NULL,boards2x3,b,4,,1
NULL,NULL,sudoku_trial,21,55651,0.0-22.0,NULL,NULL,NULL,NULL,boards2x3,b,0,,1
NULL,NULL,sudoku_trial,22,56981,0.0-23.0,NULL,NULL,NULL,NULL,boards2x3,c,1,,1
NULL,NULL,sudoku_trial,23,58157,0.0-24.0,NULL,NULL,NULL,NULL,boards2x3,c,3,,1
"[{"page_index":0,"viewing_time":816},{"page_index":1,"viewing_time":1329}]",2145,instructions,24,60302,0.0-25.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"[{"page_index":0,"viewing_time":378}]",378,instructions,25,60680,0.0-26.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"[{"page_index":0,"viewing_time":4728},{"page_index":1,"viewing_time":785},{"page_index":2,"viewing_time":775},{"page_index":3,"viewing_time":1090}]",7378,instructions,0,7379,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3120,survey-multi-choice,1,10502,0.0-1.0,"{"Q0":"I agree to participate in this research study"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":1276},{"page_index":1,"viewing_time":1080}]",2356,instructions,2,12859,0.0-2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2720,survey-multi-choice,3,15580,0.0-3.0,"{"Q0":"Yes, I solve Sudoku regularly"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,780,survey-multi-choice,4,16362,0.0-4.0-0.0,"{"Q0":""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2343,survey-multi-choice,5,18708,0.0-5.0,"{"Q0":"Graduate degree (e.g., MA, MSc)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,943,survey-text,6,19652,0.0-6.0-0.0,"{"Q0":""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3295,survey-multi-choice,7,22950,0.0-9.0,"{"Q0":"Graduate degree (e.g., MA, MSc)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2541,survey-multi-choice,8,25492,0.0-10.0,"{"Q0":"Graduate degree (e.g., MA, MSc)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2520,survey-multi-choice,9,28013,0.0-11.0,"{"Q0":"Semi- or unskilled working class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2637,survey-multi-choice,10,30652,0.0-12.0,"{"Q0":"Semi- or unskilled working class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,718,survey-text,11,31370,0.0-13.0,"{"Q0":""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2184,survey-multi-choice,12,33556,0.0-14.0,"{"Q0":"46 - 60 years of age"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,call-function,13,33559,0.0-15.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"[{"page_index":0,"viewing_time":9595},{"page_index":1,"viewing_time":2681},{"page_index":2,"viewing_time":2705},{"page_index":3,"viewing_time":2094},{"page_index":4,"viewing_time":903},{"page_index":5,"viewing_time":5266},{"page_index":6,"viewing_time":966}]",24210,instructions,14,57769,0.0-16.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,1866,html-keyboard-response,15,59636,0.0-16.0-1.0,NULL,"Are you ready to solve a practice Sudoku? <br><br> Yes, I am ready! (Press C) <br><br> Not yet, I would like to read the rules once again, please! (Press R)",67,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,sudoku_trial,16,61894,0.0-17.0,NULL,NULL,NULL,NULL,boards2x3,d,0,,1
"[{"page_index":0,"viewing_time":988}]",988,instructions,17,62882,0.0-18.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,sudoku_trial,18,65054,0.0-19.0,NULL,NULL,NULL,NULL,boards2x3,c,1,,1
NULL,NULL,sudoku_trial,19,68960,0.0-20.0,NULL,NULL,NULL,NULL,boards2x3,a,3,,1
NULL,NULL,sudoku_trial,20,70320,0.0-21.0,NULL,NULL,NULL,NULL,boards2x3,b,2,,1
